game_id,team_id,game_date,matchup,days_since_last
0021900001,1610612740,2019-10-22,NOP @ TOR,10
0021900001,1610612761,2019-10-22,TOR vs. NOP,10
0021900002,1610612746,2019-10-22,LAC vs. LAL,10
0021900002,1610612747,2019-10-22,LAL @ LAC,10
0021900003,1610612741,2019-10-23,CHI @ CHA,10
0021900003,1610612766,2019-10-23,CHA vs. CHI,10
0021900004,1610612754,2019-10-23,IND vs. DET,10
0021900004,1610612765,2019-10-23,DET @ IND,10
0021900005,1610612753,2019-10-23,ORL vs. CLE,10
0021900005,1610612739,2019-10-23,CLE @ ORL,10
0021900006,1610612750,2019-10-23,MIN @ BKN,10
0021900006,1610612751,2019-10-23,BKN vs. MIN,10
0021900007,1610612763,2019-10-23,MEM @ MIA,10
0021900007,1610612748,2019-10-23,MIA vs. MEM,10
0021900008,1610612755,2019-10-23,PHI vs. BOS,10
0021900008,1610612738,2019-10-23,BOS @ PHI,10
0021900009,1610612764,2019-10-23,WAS @ DAL,10
0021900009,1610612742,2019-10-23,DAL vs. WAS,10
0021900010,1610612752,2019-10-23,NYK @ SAS,10
0021900010,1610612759,2019-10-23,SAS vs. NYK,10
0021900011,1610612762,2019-10-23,UTA vs. OKC,10
0021900011,1610612760,2019-10-23,OKC @ UTA,10
0021900012,1610612756,2019-10-23,PHX vs. SAC,10
0021900012,1610612758,2019-10-23,SAC @ PHX,10
0021900013,1610612757,2019-10-23,POR vs. DEN,10
0021900013,1610612743,2019-10-23,DEN @ POR,10
0021900014,1610612765,2019-10-24,DET vs. ATL,1
0021900014,1610612737,2019-10-24,ATL @ DET,10
0021900015,1610612749,2019-10-24,MIL @ HOU,10
0021900015,1610612745,2019-10-24,HOU vs. MIL,10
0021900016,1610612746,2019-10-24,LAC @ GSW,2
0021900016,1610612744,2019-10-24,GSW vs. LAC,10
0021900017,1610612761,2019-10-25,TOR @ BOS,3
0021900017,1610612738,2019-10-25,BOS vs. TOR,2
0021900018,1610612750,2019-10-25,MIN @ CHA,2
0021900018,1610612766,2019-10-25,CHA vs. MIN,2
0021900019,1610612751,2019-10-25,BKN vs. NYK,2
0021900019,1610612752,2019-10-25,NYK @ BKN,2
0021900020,1610612741,2019-10-25,CHI @ MEM,2
0021900020,1610612763,2019-10-25,MEM vs. CHI,2
0021900021,1610612740,2019-10-25,NOP vs. DAL,3
0021900021,1610612742,2019-10-25,DAL @ NOP,2
0021900022,1610612764,2019-10-25,WAS @ OKC,2
0021900022,1610612760,2019-10-25,OKC vs. WAS,2
0021900023,1610612743,2019-10-25,DEN vs. PHX,2
0021900023,1610612756,2019-10-25,PHX @ DEN,2
0021900024,1610612757,2019-10-25,POR @ SAC,2
0021900024,1610612758,2019-10-25,SAC vs. POR,2
0021900025,1610612747,2019-10-25,LAL vs. UTA,3
0021900025,1610612762,2019-10-25,UTA @ LAL,2
0021900026,1610612749,2019-10-26,MIL vs. MIA,2
0021900026,1610612748,2019-10-26,MIA @ MIL,3
0021900027,1610612755,2019-10-26,PHI @ DET,3
0021900027,1610612765,2019-10-26,DET vs. PHI,2
0021900028,1610612753,2019-10-26,ORL @ ATL,3
0021900028,1610612737,2019-10-26,ATL vs. ORL,2
0021900029,1610612738,2019-10-26,BOS @ NYK,1
0021900029,1610612752,2019-10-26,NYK vs. BOS,1
0021900030,1610612739,2019-10-26,CLE vs. IND,3
0021900030,1610612754,2019-10-26,IND @ CLE,3
0021900031,1610612741,2019-10-26,CHI vs. TOR,1
0021900031,1610612761,2019-10-26,TOR @ CHI,1
0021900032,1610612745,2019-10-26,HOU vs. NOP,2
0021900032,1610612740,2019-10-26,NOP @ HOU,1
0021900033,1610612764,2019-10-26,WAS @ SAS,1
0021900033,1610612759,2019-10-26,SAS vs. WAS,3
0021900034,1610612762,2019-10-26,UTA vs. SAC,1
0021900034,1610612758,2019-10-26,SAC @ UTA,1
0021900035,1610612746,2019-10-26,LAC @ PHX,2
0021900035,1610612756,2019-10-26,PHX vs. LAC,1
0021900036,1610612744,2019-10-27,GSW @ OKC,3
0021900036,1610612760,2019-10-27,OKC vs. GSW,2
0021900037,1610612763,2019-10-27,MEM vs. BKN,2
0021900037,1610612751,2019-10-27,BKN @ MEM,2
0021900038,1610612757,2019-10-27,POR @ DAL,2
0021900038,1610612742,2019-10-27,DAL vs. POR,2
0021900039,1610612750,2019-10-27,MIN vs. MIA,2
0021900039,1610612748,2019-10-27,MIA @ MIN,1
0021900040,1610612766,2019-10-27,CHA @ LAL,2
0021900040,1610612747,2019-10-27,LAL vs. CHA,2
0021900041,1610612754,2019-10-28,IND @ DET,2
0021900041,1610612765,2019-10-28,DET vs. IND,2
0021900042,1610612741,2019-10-28,CHI @ NYK,2
0021900042,1610612752,2019-10-28,NYK vs. CHI,2
0021900043,1610612755,2019-10-28,PHI @ ATL,2
0021900043,1610612737,2019-10-28,ATL vs. PHI,2
0021900044,1610612753,2019-10-28,ORL @ TOR,2
0021900044,1610612761,2019-10-28,TOR vs. ORL,2
0021900045,1610612745,2019-10-28,HOU vs. OKC,2
0021900045,1610612760,2019-10-28,OKC @ HOU,1
0021900046,1610612749,2019-10-28,MIL vs. CLE,2
0021900046,1610612739,2019-10-28,CLE @ MIL,2
0021900047,1610612740,2019-10-28,NOP vs. GSW,2
0021900047,1610612744,2019-10-28,GSW @ NOP,1
0021900048,1610612757,2019-10-28,POR @ SAS,1
0021900048,1610612759,2019-10-28,SAS vs. POR,2
0021900049,1610612756,2019-10-28,PHX vs. UTA,2
0021900049,1610612762,2019-10-28,UTA @ PHX,2
0021900050,1610612743,2019-10-28,DEN @ SAC,3
0021900050,1610612758,2019-10-28,SAC vs. DEN,2
0021900051,1610612746,2019-10-28,LAC vs. CHA,2
0021900051,1610612766,2019-10-28,CHA @ LAC,1
0021900052,1610612748,2019-10-29,MIA vs. ATL,2
0021900052,1610612737,2019-10-29,ATL @ MIA,1
0021900053,1610612743,2019-10-29,DEN vs. DAL,1
0021900053,1610612742,2019-10-29,DAL @ DEN,2
0021900054,1610612763,2019-10-29,MEM @ LAL,2
0021900054,1610612747,2019-10-29,LAL vs. MEM,2
0021900055,1610612741,2019-10-30,CHI @ CLE,2
0021900055,1610612739,2019-10-30,CLE vs. CHI,2
0021900056,1610612753,2019-10-30,ORL vs. NYK,2
0021900056,1610612752,2019-10-30,NYK @ ORL,2
0021900057,1610612755,2019-10-30,PHI vs. MIN,2
0021900057,1610612750,2019-10-30,MIN @ PHI,3
0021900058,1610612749,2019-10-30,MIL @ BOS,2
0021900058,1610612738,2019-10-30,BOS vs. MIL,4
0021900059,1610612754,2019-10-30,IND @ BKN,2
0021900059,1610612751,2019-10-30,BKN vs. IND,3
0021900060,1610612761,2019-10-30,TOR vs. DET,2
0021900060,1610612765,2019-10-30,DET @ TOR,2
0021900061,1610612745,2019-10-30,HOU @ WAS,2
0021900061,1610612764,2019-10-30,WAS vs. HOU,4
0021900062,1610612757,2019-10-30,POR @ OKC,2
0021900062,1610612760,2019-10-30,OKC vs. POR,2
0021900063,1610612746,2019-10-30,LAC @ UTA,2
